Fecha,Cantidad,Tendencia,Estacional,Residuo,arima_Pronostico,arima_li,arima_ls,sarimax_Pronostico,sarimax_li,sarimax_ls
2024-11-01,277092,297925.1713086704,-20429.219281986818,-403.95202668360434,311521,NA,NA,298587.63819658896,NA,NA
2024-12-01,317062,296634.8410960996,16427.54153198194,3999.617371918459,277092,NA,NA,306068.75292148395,NA,NA
2025-01-01,383494,295344.5108835288,62488.95569923965,25660.533417231574,317062,NA,NA,359386.886765056,NA,NA
2025-02-01,421815,293467.15728204855,141019.63817153007,-12671.79545357864,383494,NA,NA,402419.7255249896,NA,NA
2025-03-01,252091,291589.8036805683,-26270.43746589042,-13228.366214677866,421815,NA,NA,295580.29104184784,NA,NA
2025-04-01,248443,289534.02055921906,-38586.466701397774,-2504.5538578212727,252091,NA,NA,213333.80994679756,NA,NA
2025-05-01,266726,287478.23743786983,-21541.19161747905,788.9541796091944,248443,NA,NA,272865.51293259405,NA,NA
2025-06-01,242826,287850.775759675,-43289.299996267175,-1735.475763407827,266726,NA,NA,281004.2105591581,NA,NA
2025-07-01,247543,288223.3140814802,-25219.353272157947,-15460.960809322249,242826,NA,NA,248109.20277589263,NA,NA
2025-08-01,240259,290137.24201445084,-40631.747756234356,-9246.494258216466,247543,NA,NA,241008.15011689073,NA,NA
2025-09-01,289463,292051.16994742147,-5100.480423206619,2512.310475785169,240259,NA,NA,289729.7921613542,NA,NA
2025-10-01,279866,293982.4957146436,1132.059314796163,-15248.555029439798,289463,NA,NA,268777.97574524255,NA,NA
2025-11-01,244534,295913.8214818657,-20429.219281986818,-30950.602199878893,279866,NA,NA,243874.73675857356,NA,NA
2025-12-01,322261,298061.1415934113,16427.54153198194,7772.316874606768,244534,NA,NA,281398.82837514556,NA,NA
2026-01-01,390941,300208.46170495683,62488.95569923965,28243.582595803546,322261,NA,NA,381615.3603363006,NA,NA
2026-02-01,451540,302680.7477464804,141019.63817153007,7839.614081989508,390941,NA,NA,444633.37984500366,NA,NA
2026-03-01,277917,305153.03378800396,-26270.43746589042,-965.5963221135316,451540,NA,NA,298298.0042195479,NA,NA
2026-04-01,NA,NA,NA,NA,277917,156908.22215106327,398925.77784893673,295200.77681297075,222970.44208811768,332718.175781701
2026-05-01,NA,NA,NA,NA,277917,106784.74519984068,449049.2548001593,309968.9119510793,212699.08027168355,362312.3359552707
2026-06-01,NA,NA,NA,NA,277917,68323.64860382627,487510.3513961737,273968.9236073821,160328.84552969455,343350.00635282026
2026-07-01,NA,NA,NA,NA,277917,35899.44430212653,519934.55569787347,296504.8431220895,171114.2979172513,388825.5333335472
2026-08-01,NA,NA,NA,NA,277917,7333.146855606639,548500.8531443933,265417.5971426836,131224.90713846422,353909.2930814817
2026-09-01,NA,NA,NA,NA,277917,-18492.76012769877,574326.7601276988,312975.7226258514,172027.39593762194,428915.03842997574
