Fecha,arima_Pronostico,arima_li,arima_ls,sarimax_Pronostico,sarimax_li,sarimax_ls,Variable
2026-05-01,0.07397479471614263,0,0.8176633736552232,5.960179729913449e-19,0,0.8357355574365386,Socompa
2026-06-01,0.07397662785842599,0,0.817665207089937,5.960179729913449e-19,0,0.8357355574365386,Socompa
2026-01-01,57.69036091824613,0,690.0744872347299,2.940606564083653,0,699.5906842970412,Sico
2026-02-01,76.51327006340884,0,741.7065940759221,2.2588491129889086,0,720.5456471117722,Sico
2026-03-01,82.65471038459414,0,751.2459313134032,0.15758947317222816,0,719.7874427817588,Sico
2026-04-01,84.65850740278108,0,753.6104357372062,0.7518614691681793,0,720.4663521207635,Sico
2026-05-01,85.312295810729,0,754.3026118788825,1.2663964289308445,0,720.9862257617449,Sico
2026-06-01,85.52561047208816,0,754.5200129853248,12.012816158531068,0,731.7329822597909,Sico
2026-01-01,495.30530109177306,0,2035.350214569013,1898.580343972759,778.112935630945,3019.047752314573,04. III - ATACAMA
2026-02-01,445.5695646962774,0,2096.6195550104876,1009.7884272462576,0,2227.215835351856,04. III - ATACAMA
2026-03-01,426.3485439721355,0,2093.343225834021,613.2653320554591,0,1847.3885044849683,04. III - ATACAMA
2026-04-01,418.9203310923649,0,2088.2833392375705,331.49545018643516,0,1568.6092503774723,04. III - ATACAMA
2026-05-01,416.0496018330242,0,2085.7660397875056,194.03958534443314,0,1431.6926130580603,04. III - ATACAMA
2026-06-01,414.94017125883073,0,2084.709388818245,136.7748608736553,0,1374.5252282300253,04. III - ATACAMA
2026-01-01,4.064814814811494,0,56.34832927138414,0.8708193746341453,0,58.99219733364375,Aeródromo Chamonate
2026-02-01,4.064814814811494,0,56.34832927138414,8.337693194531013e-19,0,58.12137795900961,Aeródromo Chamonate
2026-03-01,4.064814814811494,0,56.34832927138414,8.337693194531014e-19,0,58.12137795900961,Aeródromo Chamonate
2026-04-01,4.064814814811494,0,56.34832927138414,8.337693194531014e-19,0,58.12137795900961,Aeródromo Chamonate
2026-05-01,4.064814814811494,0,56.34832927138414,8.337693194531014e-19,0,58.12137795900961,Aeródromo Chamonate
2026-06-01,4.064814814811494,0,56.34832927138414,8.337693194531014e-19,0,58.12137795900961,Aeródromo Chamonate
2026-01-01,0.27314814815050853,0,4.3558037285285005,2.240163522366614e-56,0,4.893009766405395,Pascua Lama
2026-02-01,0.27314814815050853,0,4.3558037285285005,2.0223913208412226e-69,0,4.893009766405395,Pascua Lama
2026-03-01,0.27314814815050853,0,4.3558037285285005,0,0,4.893009766405395,Pascua Lama
2026-04-01,0.27314814815050853,0,4.3558037285285005,0,0,4.893009766405395,Pascua Lama
2026-05-01,0.27314814815050853,0,4.3558037285285005,0,0,4.893009766405395,Pascua Lama
2026-06-01,0.27314814815050853,0,4.3558037285285005,0,0,4.893009766405395,Pascua Lama
2026-01-01,20.302679117767255,0,199.80109344439643,0.0823052386443077,0,138.24943521585575,Pircas Negras
2026-02-01,32.15653990462908,0,240.00988818186318,0.10117885188179021,0,147.84320083678963,Pircas Negras
2026-03-01,36.16148064266431,0,247.00917967977276,0.09785510088970674,0,147.83987708579755,Pircas Negras
2026-04-01,36.79725545758277,0,247.71986542108735,0.09220106739465246,0,147.8342230523025,Pircas Negras
2026-05-01,36.59323827834771,0,247.52356059551366,0.09216501544081102,0,147.83418700034863,Pircas Negras
2026-06-01,36.382806819124355,0,247.32133375506913,0.09216469276338754,0,147.83418667767123,Pircas Negras
2026-01-01,462.24662905747755,0,1866.5107748835424,1889.3023602175272,862.5708179715673,2916.033902463487,San Francisco
2026-02-01,404.9348229717187,0,1894.7391798369158,910.0959511344477,0,2011.3818284319514,San Francisco
2026-03-01,384.6283335448072,0,1884.826841579978,541.3415488164657,0,1653.4172498607677,San Francisco
2026-04-01,377.4334195993587,0,1878.9317240005057,306.5859904326668,0,1420.2768150192219,San Francisco
2026-05-01,374.88414652738174,0,1876.545547647135,172.53399042472586,0,1286.467734278886,San Francisco
2026-06-01,373.98089830999095,0,1875.6627733113155,120.87254282569128,0,1234.8428482483098,San Francisco
2026-01-01,6962.187280982147,361.7361861209283,13562.638375843366,21242.448952871913,17645.624907664813,24839.272998079014,05. IV - COQUIMBO
2026-02-01,3607.763584272442,0,12001.919558278616,12174.035392215077,7478.345679089305,16869.725105340847,05. IV - COQUIMBO
2026-03-01,1871.6855007985253,0,10358.278933442547,5202.486721863828,456.6286350259825,9948.344808701673,05. IV - COQUIMBO
2026-04-01,1250.84735506398,0,9758.808593498929,2670.701592376977,0,7416.559679214823,05. IV - COQUIMBO
2026-05-01,1231.8823806005828,0,9814.418924261106,969.5559718837169,0,5715.4140587215625,05. IV - COQUIMBO
2026-06-01,1446.202525744732,0,10086.94322929342,211.78815105780797,0,4957.646237895654,05. IV - COQUIMBO
2026-01-01,33.412511365217156,0,243.18940737828365,23.495718494744995,0,276.00786992236146,Aeropuerto La Florida
2026-02-01,23.92438763198299,0,251.94920494857865,2.8231656974568367,0,279.2108451633552,Aeropuerto La Florida
2026-03-01,23.92438763198299,0,251.94920494857865,0,0,276.1971452808585,Aeropuerto La Florida
2026-04-01,23.92438763198299,0,251.94920494857865,24.15558902248237,0,301.1507326994482,Aeropuerto La Florida
2026-05-01,23.92438763198299,0,251.94920494857865,44.82611239020324,0,321.87485505082043,Aeropuerto La Florida
2026-06-01,23.92438763198299,0,251.94920494857865,0.006013967876960239,0,277.0586512257963,Aeropuerto La Florida
2026-01-01,6925.699787964022,360.7311419123789,13490.668434015664,21738.97155240659,18040.706596768487,25437.236508044694,Juntas del Toro
2026-02-01,3594.79297890302,0,11950.599786237226,12792.589829460268,7971.927670934261,17613.251987986274,Juntas del Toro
2026-03-01,1859.6379396383984,0,10310.664719094259,5713.836912633507,843.5743450160853,10584.09948025093,Juntas del Toro
2026-04-01,1232.0029498336366,0,9703.278279661265,2588.8524912728108,0,7459.115058890233,Juntas del Toro
2026-05-01,1206.7790120055238,0,9751.869480724004,820.3552508731682,0,5690.61781849059,Juntas del Toro
2026-06-01,1418.0671440486697,0,10021.627968186971,173.9177680879111,0,5044.180335705333,Juntas del Toro
2026-01-01,91030.0837650683,40667.426104763166,141392.74142537342,159815.6758359045,127204.14043070938,192427.2112410996,06. V - VALPARAÍSO
2026-02-01,78699.37219833185,8382.81141665284,149015.93298001087,118245.26463067363,76101.15153645255,160389.3777248947,06. V - VALPARAÍSO
2026-03-01,70191.84912714327,0,148234.77150409255,94015.8493312065,46543.55822393014,141488.14043848286,06. V - VALPARAÍSO
2026-04-01,64322.11902964801,0,145785.94836935878,95546.452392589,44816.13132544565,146276.77345973236,06. V - VALPARAÍSO
2026-05-01,60272.3232043364,0,143315.097501502,69898.52420361247,17097.49865032197,122699.54975690297,06. V - VALPARAÍSO
2026-06-01,57478.183447602096,0,141262.12244340958,22340.717477183556,0,76484.9420320155,06. V - VALPARAÍSO
