Fecha,Aeropuerto,Pasajeros,Capacidad,LoadFactor
2013-11-01,Aeropuerto Isla de Pascua,282,396.45000000000005,71.13129020052969
2013-11-01,Aeropuerto Punta Arenas,169,266.25,63.474178403755865
2013-11-01,Chacalluta - Aeropuerto,622,876.8999999999996,70.93169118485577
2013-12-01,Aeropuerto C. Arturo Merino Benítez,248261.83,369342.35,67.21726604057184
2013-12-01,Aeropuerto Carriel Sur,317,317,100
2013-12-01,Aeropuerto Cerro Moreno,574,807.25,71.1056054506039
2013-12-01,Aeropuerto Diego Aracena,2090,2362,88.48433530906011
2013-12-01,Aeropuerto Isla de Pascua,402,399.25,100.68879148403256
2013-12-01,Aeropuerto Punta Arenas,253,256.59999999999997,98.59703819173814
2013-12-01,Chacalluta - Aeropuerto,845,963.7999999999998,87.67379124299649
2014-01-01,Aeropuerto C. Arturo Merino Benítez,315794.2,381187.55,82.84483582950179
2014-01-01,Aeropuerto Cerro Moreno,980,904.6499999999999,108.32918808378933
2014-01-01,Aeropuerto Diego Aracena,3192,3286.1499999999996,97.13494514857814
2014-01-01,Aeropuerto Isla de Pascua,271,399.25,67.87726988102692
2014-01-01,Aeropuerto Punta Arenas,198,261.95,75.58694407329644
2014-01-01,Chacalluta - Aeropuerto,995,1046.3,95.09700850616458
2014-02-01,Aeropuerto C. Arturo Merino Benítez,303387.8,383220.95,79.1678534276375
2014-02-01,Aeropuerto Cerro Moreno,740,904.6499999999999,81.799591002045
2014-02-01,Aeropuerto Diego Aracena,2829,3194.6499999999996,88.55430172319348
2014-02-01,Aeropuerto Isla de Pascua,301,399.25,75.39135879774578
2014-02-01,Aeropuerto Punta Arenas,170,243.79999999999998,69.7292863002461
2014-02-01,Chacalluta - Aeropuerto,1025,1008.5,101.63609320773426
2014-03-01,Aeropuerto C. Arturo Merino Benítez,317726.22,379541.49549999996,83.71317069861732
2014-03-01,Aeropuerto Cerro Moreno,814,904.6499999999999,89.9795501022495
2014-03-01,Aeropuerto Diego Aracena,2082,3160.25,65.88086385570762
2014-03-01,Aeropuerto Isla de Pascua,341,399.25,85.41014402003756
2014-03-01,Aeropuerto Punta Arenas,196,235.39999999999998,83.26253186066272
2014-03-01,Chacalluta - Aeropuerto,995,1008.5,98.66137828458106
2014-04-01,Aeropuerto C. Arturo Merino Benítez,255862.6,374648.89999999997,68.29396803246988
2014-04-01,Aeropuerto Cerro Moreno,602,904.6499999999999,66.54507268004201
2014-04-01,Aeropuerto Diego Aracena,1251,2330.25,53.68522690698423
2014-04-01,Aeropuerto Isla de Pascua,447,422.25,105.8614564831261
2014-04-01,Aeropuerto Punta Arenas,146,249.70000000000002,58.470164197036446
2014-04-01,Chacalluta - Aeropuerto,365,1008.5,36.192364898363905
2014-05-01,Aeropuerto C. Arturo Merino Benítez,267690.97,369872.44999999995,72.37386023208812
2014-05-01,Aeropuerto Cerro Moreno,525,904.6499999999999,58.03349361631571
2014-05-01,Aeropuerto Diego Aracena,1369,2330.25,58.749061259521504
2014-05-01,Aeropuerto Isla de Pascua,275,422.25,65.12729425695679
2014-05-01,Aeropuerto Punta Arenas,15,255.55,5.869692819409118
2014-05-01,Chacalluta - Aeropuerto,176,1008.5,17.45166088249876
2014-06-01,Aeropuerto C. Arturo Merino Benítez,254103.23,369058.75,68.85170179544585
2014-06-01,Aeropuerto Carriel Sur,265,265,100
2014-06-01,Aeropuerto Cerro Moreno,589,904.6499999999999,65.10805283811419
2014-06-01,Aeropuerto Diego Aracena,1226,2330.25,52.61238064585345
